city,lat,lon
Curepipe,-20.3162,57.5166
Port Louis,-20.1667,57.5
Quartier Militaire,-20.25,57.55
Centre de Flacq,-20.2002,57.7177
Port Mathurin,-19.6833,63.4211
Cap Malheureux,-19.9861,57.6119
Trois Boutiques,-20.4502,57.656
Rose Hill,-20.2441,57.4719
Plaisance,-20.2421,57.461
Stanley,-20.2503,57.4597
Beau Bassin,-20.2276,57.4681
La Source,-20.2711,57.4625
Engrais Martial,-20.3003,57.5094
Floreal,-20.3094,57.5008
Eaux Coulee,-20.3042,57.5175
Malherbes,-20.3092,57.5247
Carreau La Liane,-20.2806,57.4764
Pellegrin,-20.2594,57.4905
Camp Caval,-20.32,57.5019
Mare Samson,-20.1714,57.4417
Petit Camp,-20.2698,57.4976
Grand River North West,-20.1779,57.4765
Quatre Bornes,-20.2654,57.4778
Petit Verger,-20.1756,57.4336
Chebel,-20.203,57.458
Richelieu,-20.1932,57.4595
Le Hochet,-20.1386,57.5301
Riche Terre,-20.1331,57.5247
Les Casernes,-20.3261,57.4986
Coromandel,-20.1879,57.4659
La Rotraite,-20.2,57.4667
Belle Etoile,-20.2047,57.4705
Forest Side,-20.32,57.5306
Engrais Cathan,-20.2992,57.5186
Solferino,-20.2908,57.4672
Terre Rouge,-20.1283,57.5312
Bonne Terre,-20.2878,57.4756
River Side,-20.2775,57.4967
Trianon,-20.2558,57.4942
Ebene,-20.2456,57.4842
Vacoas,-20.2981,57.4783
Holyrood,-20.3097,57.4675
Ville Noire,-20.4019,57.6947
Mahebourg,-20.4081,57.7
Bois Marchand,-20.1233,57.5331
Camp Roches,-20.3219,57.4678
Bois Pignolet,-20.1324,57.5446
La Cocoterie,-20.1316,57.5016
Richeterre,-20.1167,57.5
Mesnil,-20.2903,57.5117
La Croisee,-20.3186,57.4783
Glen Park,-20.3211,57.4783
Reunion,-20.3092,57.4881
La Marie,-20.335,57.485
Camp La Savanne,-20.325,57.4686
Camp Mapou,-20.3322,57.4653
La Rosa,-20.4136,57.6169
New Grove,-20.4086,57.6136
Petite Riviere,-20.1894,57.4453
Saint Paul,-20.2878,57.5044
